season,game_id,l2m_events,incorrect_events,mean_sori,max_sori,top_decile_event_sori
2022-23,0022200738,22,2,0.14321556496479734,0.4142915495693472,0.3415185960643167
2022-23,0022200616,14,1,0.1413487297548742,0.4142915495693472,0.35141769691966984
2022-23,0022200296,23,0,0.13801707945589287,0.4142915495693472,0.35141769691966984
2022-23,0022200237,24,5,0.12913308743698157,0.4142915495693472,0.3484479666630639
2018-19,0021801011,13,2,0.11960411912451939,0.4142915495693472,0.3202325257925823
2023-24,0022300172,11,1,0.1180105936209172,0.4142915495693472,0.35141769691966984
2021-22,0022100233,26,2,0.11789699132571135,0.4142915495693472,0.35141769691966984
2022-23,0022200195,16,2,0.10896819238356732,0.4142915495693472,0.3464681464919933
2022-23,0022200268,34,2,0.10852467161784957,0.4142915495693472,0.35141769691966984
2022-23,0022200785,19,1,0.10658927720098037,0.4142915495693472,0.34349841623538735
2018-19,0021801030,21,2,0.10498054140555385,0.4142915495693472,0.28080358480850204
2024-25,0022401201,18,1,0.10398967734041858,0.4142915495693472,0.36335048211582593
2022-23,0022200435,18,1,0.10385659133029017,0.4142915495693472,0.3444883263209227
2022-23,0022200568,15,3,0.10180769210547234,0.4142915495693472,0.24430851914824897
2021-22,0022101049,17,2,0.10117695317732942,0.4142915495693472,0.3050895893108279
2022-23,0022200207,14,1,0.1006977055558012,0.4142915495693472,0.24413682752178156
2022-23,0022200040,20,0,0.0999130979556392,0.4142915495693472,0.3415185960643167
2024-25,0022400390,27,1,0.09954139027301928,0.4142915495693472,0.345478236406458
2024-25,0022400520,19,0,0.09896734022489267,0.4142915495693472,0.3415185960643167
2021-22,0022101148,29,5,0.09436862136477628,0.4142915495693472,0.34349841623538735
2023-24,0022300082,29,5,0.09093333578844169,0.4142915495693472,0.2929465870596649
2023-24,0022300292,25,1,0.08969749706222836,0.4142915495693472,0.26023275025765685
2019-20,0021900003,22,2,0.08897547067436357,0.4142915495693472,0.3148128790790435
2023-24,0022300079,16,1,0.08681449364080603,0.4142915495693472,0.2058481650119399
2023-24,0022300236,22,4,0.08621188714160095,0.4142915495693472,0.16816496626185382
2020-21,0022000533,22,2,0.0862060033404124,0.4142915495693472,0.13621481240374697
2022-23,0022200681,16,1,0.08558849348193445,0.4142915495693472,0.20131200139620894
2020-21,0022000200,18,1,0.08508356158162678,0.4142915495693472,0.14522936352896604
2022-23,0022201094,13,2,0.08499814007825966,0.4142915495693472,0.12770396815945242
2021-22,0022100555,23,3,0.08483054571645017,0.4142915495693472,0.16987095496478233
2023-24,0022300645,18,3,0.08471008542326444,0.4142915495693472,0.15457857716740026
2020-21,0022000317,18,1,0.08396244218554533,0.4142915495693472,0.1357338826641319
2023-24,0022300193,17,0,0.08272390626387602,0.4142915495693472,0.15982911629886432
2023-24,0022300682,22,1,0.08114596446711676,0.4142915495693472,0.15305690364440833
2022-23,0022200865,27,1,0.08028784600994958,0.4142915495693472,0.18128429415267444
2022-23,0022200382,26,2,0.08028067691254487,0.4142915495693472,0.1617011999680107
2019-20,0021900301,14,2,0.07999866331193894,0.4142915495693472,0.13334517022707704
2023-24,0022301214,22,3,0.07980546190952757,0.4142915495693472,0.15164162064401995
2020-21,0022000646,17,0,0.07955598555773195,0.4142915495693472,0.15615080551707675
2023-24,0022300629,13,0,0.07889291093382046,0.4142915495693472,0.07525823673198535
2020-21,0022000457,23,2,0.07873109796271023,0.4142915495693472,0.13892057503638877
2023-24,0022300879,26,0,0.07714019248840695,0.4142915495693472,0.11847971834999801
2024-25,0022400201,16,1,0.07712309872738607,0.4142915495693472,0.07525823673198535
2020-21,0022000793,27,2,0.07710562378320959,0.4142915495693472,0.10908134935019523
2020-21,0022000003,20,3,0.07700262769656516,0.4142915495693472,0.09013663574725844
2022-23,0022200763,22,2,0.0767334390148002,0.4142915495693472,0.06110540672810116
2022-23,0022200690,28,1,0.07653639035177993,0.4142915495693472,0.08614187528664975
2024-25,0022400205,42,2,0.07478801118817839,0.4142915495693472,0.07384295373159691
2022-23,0022200969,35,3,0.07440555176956318,0.4142915495693472,0.06110540672810116
2024-25,0022400097,27,3,0.0738285578142412,0.4142915495693472,0.07201396003341673
2024-25,0022400429,26,2,0.07315175068857019,0.4142915495693472,0.13692207744927137
2024-25,0022400469,16,0,0.07305385564427072,0.4142915495693472,0.06733327995089423
2022-23,0022200552,35,2,0.07302743062341893,0.4142915495693472,0.06911901841818767
2019-20,0021900725,25,1,0.07302444254596642,0.4142915495693472,0.06911901841818767
2023-24,0022300666,33,2,0.07298811908071458,0.4142915495693472,0.07446142621157864
2024-25,0022400286,16,1,0.07285828379542286,0.4142915495693472,0.0677834164698399
2024-25,0022400501,27,3,0.07253403112226756,0.4142915495693472,0.07525823673198535
2020-21,0022000587,21,1,0.07241755475433362,0.4142915495693472,0.14456030192326297
2020-21,0022000504,16,1,0.07232704484291479,0.4142915495693472,0.06110540672810116
2023-24,0022300790,27,3,0.07184101218599498,0.4142915495693472,0.08302169516377814
2023-24,0022300583,14,1,0.07158025592923704,0.4142915495693472,0.07076435564365274
2022-23,0022200260,31,2,0.07150381099140764,0.4142915495693472,0.09586209859207726
2024-25,0022400200,25,2,0.07083086799300335,0.4142915495693472,0.12132722836543074
2022-23,0022200257,29,4,0.07060040290619933,0.4142915495693472,0.07779638576713346
2024-25,0022400268,14,1,0.0701100276707755,0.4142915495693472,0.07101238773082011
2020-21,0022000390,35,5,0.0698698036920387,0.4142915495693472,0.0695971047304317
2022-23,0022200464,22,0,0.06965770762320518,0.4142915495693472,0.06110540672810116
2020-21,0022000336,16,1,0.06927841931963674,0.4142915495693472,0.060692019916155554
2021-22,0022100116,35,3,0.06919760374442337,0.4142915495693472,0.07493951252382267
2021-22,0022100416,19,3,0.06855275354437919,0.4142915495693472,0.06846617973053232
2019-20,0021900409,33,2,0.06829651335422693,0.4142915495693472,0.06094005200332291
2023-24,0022300806,21,2,0.06781669651012628,0.4142915495693472,0.07446142621157864
2021-22,0022101079,32,2,0.06755013485497981,0.4142915495693472,0.1281661898355355
2022-23,0022201202,29,1,0.0674862140521058,0.4142915495693472,0.06044398782898819
2024-25,0022400242,24,2,0.06708716162523029,0.4142915495693472,0.09228998229088949
2018-19,0021800955,22,0,0.06649654406789594,0.4142915495693472,0.06110540672810116
2018-19,0021801069,46,4,0.06641499724584989,0.4142915495693472,0.07878916077058554
2024-25,0022400707,23,2,0.06611454210961651,0.4142915495693472,0.07242767073120852
2019-20,0021900048,21,2,0.06589376725861593,0.4142915495693472,0.06110540672810116
2020-21,0022000634,22,2,0.06531634269552015,0.4142915495693472,0.060278633104209944
2020-21,0022000950,33,2,0.06490090284790269,0.4142915495693472,0.06094005200332291
2020-21,0022000465,50,1,0.06448980148645739,0.4142915495693472,0.06110540672810116
2024-25,0022400307,20,0,0.06352749081559772,0.4142915495693472,0.06169691241494683
2019-20,0021900696,42,3,0.06344499752580286,0.4142915495693472,0.061022729365712035
2021-22,0022100773,31,0,0.0633757997924094,0.4142915495693472,0.07446142621157864
2022-23,0022200734,35,2,0.061425934435965765,0.4142915495693472,0.06110540672810116
2019-20,0021900824,25,1,0.061050623867596625,0.4142915495693472,0.06110540672810116
2021-22,0022100069,26,3,0.060109569249815614,0.4142915495693472,0.06110540672810116
2023-24,0022300001,22,1,0.05998664111818983,0.4142915495693472,0.060278633104209944
2018-19,0021801076,27,1,0.05865347938182319,0.4142915495693472,0.06110540672810116
