taxonomy_category,challenges,overturned,overturn_rate,challenge_share,taxonomy_label,same_season_l2m_events,same_season_l2m_incorrect,same_season_l2m_error_rate,same_season_l2m_event_share,all_l2m_events,all_l2m_incorrect,all_l2m_error_rate,all_l2m_event_share,same_season_mean_sori,all_season_mean_sori,challenge_minus_same_season_l2m_share
focal_discrete,1991,749,0.3761928679055751,0.4405842000442576,Focal/Discrete (Primary Action),37130.0,1610.0,0.04336116347966604,0.7734288749557356,39645.0,1757.0,0.044318325135578256,0.7753764912966947,0.044633657946156,0.04456337306573894,-0.33284467491147807
focal_continuous,1963,1789,0.9113601630157921,0.4343881389687984,Focal/Continuous (Boundary/Gather),3849.0,618.0,0.16056118472330475,0.0801758076947112,3993.0,644.0,0.16128224392687202,0.07809505182867202,0.15974343920721917,0.16093620822950244,0.35421233127408724
unknown_or_unmapped,405,380,0.9382716049382716,0.08962159769860589,Unknown or unmapped,,,,,,,,,,,
ambient_continuous,120,60,0.5,0.026554547466253596,Ambient/Continuous (Off-Ball/Spatial),5520.0,531.0,0.09619565217391304,0.11498323161205658,5907.0,568.0,0.09615710174369392,0.11552904361431644,0.09619293308813803,0.09565560211548155,-0.08842868414580299
administrative_process,26,23,0.8846153846153846,0.005753485284354946,Administrative/Process,482.0,31.0,0.06431535269709543,0.010040202470473056,505.0,31.0,0.061386138613861385,0.00987678466653628,0.08533974406012235,0.08506448421758092,-0.00428671718611811
temporal_discrete,14,12,0.8571428571428571,0.003098030537729586,Temporal/Discrete (Clock/Count),1026.0,205.0,0.19980506822612085,0.02137188326702356,1080.0,214.0,0.19814814814814816,0.02112262859378056,0.18385581567476203,0.185960235122174,-0.018273852729293976
