feature,coefficient,odds_ratio
call_type_grouped_Foul: Defense 3 Second,1.3482863941917738,3.850821084227819
call_type_grouped_Turnover: Traveling,1.2689680355611548,3.5571797845531847
call_type_grouped_Other,1.0762458962528954,2.9336456427058795
call_type_grouped_Violation: Lane,1.0260450912685581,2.7900097522814864
call_type_grouped_Turnover: 5 Second Inbound,0.7391669885859621,2.0941903032790523
call_type_grouped_Turnover: Discontinue Dribble,0.5860358335290023,1.7968512607884368
call_type_grouped_N/A,0.5712666150447403,1.7705081841107593
call_family_N/A,0.5712666150447403,1.7705081841107593
sequence_context_grouped_violation_foul,0.47920387980353957,1.6147883247263746
monitoring_type_ambient_continuous,0.4791604824190905,1.6147182486572127
sequence_context_grouped_foul_turnover_foul,0.4223231078421854,1.5255013465100151
sequence_context_grouped_turnover_rebound_foul,0.42107146278558155,1.5235931547293349
call_type_grouped_Turnover: Double Dribble,0.40451346327592486,1.498573211757148
call_family_Violation,0.3882789121658453,1.4744409664669884
call_type_grouped_Violation: Delay of Game,0.3559902779734792,1.4275936690928663
sequence_context_grouped_rebound_foul_turnover,0.34940557389237936,1.4182242684525925
call_type_grouped_Foul: Shooting,0.3459627068261452,1.413349906531053
call_type_grouped_Turnover: Stepped out of Bounds,0.30145766575709565,1.351827885316662
sequence_context_grouped_foul_turnover,0.28135026740186925,1.324917598114278
call_type_grouped_Turnover: Out of Bounds,0.27725739571884067,1.3195059625141234
call_type_grouped_Turnover: 3 Second Violation,0.27671171555470736,1.3187861307007567
call_type_grouped_Turnover: Inbound Turnover,0.23460304931807208,1.2644067619771204
clock_seconds,0.23248689971147832,1.2617339171723654
sequence_context_grouped_rebound_rebound_foul,0.22634584516995404,1.2540092833452303
sequence_context_grouped_rebound_turnover_rebound,0.22222765404223688,1.2488556525423875
sequence_context_grouped_rebound_foul_rebound,0.2167122694256813,1.241986693176963
call_family_infrequent_sklearn,0.21607592067844564,1.241196607912222
call_type_grouped_Stoppage: Out-of-Bounds,0.20342554872638796,1.2255939072170705
sequence_context_grouped_rebound_rebound_rebound,0.19910768265886372,1.2203133654128557
