game_id,event_num,season,season_type,period,game_clock,description,original_ruling,final_ruling,overturned,crew_chief_id,challenging_team,event_msg_type,challenge_action_number,challenge_action_clock,challenge_action_person_id,resolution_method,challenged_action_number,challenged_period,challenged_clock,challenged_action_type,challenged_action_subtype,challenged_description,challenge_raw_type,taxonomy_category,taxonomy_label,mapping_note
0022100112,375,2021-22,Regular Season,3,PT07M21.00S,Instant Replay3rd Period (8:26 PM EST) Instant Replay Coach Challenge Ruling Stands,challenged,upheld,0,1627541.0,,,375,PT07M21.00S,368,person_id_action_number,368,3,PT07M21.00S,Foul,Personal,Birch P.FOUL (P4.T3) (E.Scott),Foul: Personal,ordinary_contact_foul,Ordinary contact foul,Mapped from challenged action type and subtype.
0022100115,471,2021-22,Regular Season,4,PT09M34.00S,Instant Replay4th Period (9:49 PM EST) Instant Replay Coach Challenge Overturn Ruling,challenged,overturned,1,1830.0,,,471,PT09M34.00S,469,previous_same_clock,468,4,PT09M34.00S,Rebound,Unknown,Clippers Rebound,Rebound,possession_boundary_adjudication,Possession/boundary adjudication,Rebound-linked challenges usually adjudicate possession or boundary state.
0022100124,581,2021-22,Regular Season,4,PT03M26.00S,Instant Replay4th Period (9:11 PM EST) Instant Replay Coach Challenge Ruling Stands,challenged,upheld,0,2715.0,,,581,PT03M26.00S,579,person_id_action_number,579,4,PT03M26.00S,Turnover,Out of Bounds Lost Ball Turnover,Cunningham Out of Bounds Lost Ball Turnover (P6.T13),Turnover: Out of Bounds Lost Ball Turnover,possession_boundary_adjudication,Possession/boundary adjudication,Mapped from challenged action type and subtype.
0022100125,610,2021-22,Regular Season,4,PT03M33.00S,Instant Replay4th Period (9:05 PM EST) Instant Replay Coach Challenge Overturn Ruling,challenged,overturned,1,202007.0,,,610,PT03M33.00S,605,previous_play,602,4,PT03M47.00S,Free Throw,Free Throw 1 of 1,Johnson Free Throw 1 of 1 (18 PTS),Unknown,unknown_or_unmapped,Unknown or unmapped,Shot/free-throw linked challenge lacks enough text to infer the challenged ruling.
0022100127,439,2021-22,Regular Season,3,PT02M28.00S,Instant Replay3rd Period (9:08 PM EST) Instant Replay Coach Challenge Overturn Ruling,challenged,overturned,1,202037.0,,,439,PT02M28.00S,436,previous_same_clock,488,3,PT02M28.00S,Rebound,Unknown,Cavaliers Rebound,Rebound,possession_boundary_adjudication,Possession/boundary adjudication,Rebound-linked challenges usually adjudicate possession or boundary state.
0022100133,406,2021-22,Regular Season,3,PT05M25.00S,Instant Replay3rd Period (6:36 PM EST) Instant Replay Coach Challenge Overturn Ruling,challenged,overturned,1,203177.0,,,406,PT05M25.00S,403,previous_same_clock,435,3,PT05M25.00S,Rebound,Unknown,Rockets Rebound,Rebound,possession_boundary_adjudication,Possession/boundary adjudication,Rebound-linked challenges usually adjudicate possession or boundary state.
0022100134,564,2021-22,Regular Season,4,PT01M47.00S,Instant Replay4th Period (9:46 PM EST) Instant Replay Coach Challenge Overturn Ruling,challenged,overturned,1,2534.0,,,564,PT01M47.00S,559,previous_play,558,4,PT01M58.00S,Made Shot,Jump Shot,Mitchell 30' 3PT Jump Shot (35 PTS) (Conley 6 AST),Unknown,unknown_or_unmapped,Unknown or unmapped,Shot/free-throw linked challenge lacks enough text to infer the challenged ruling.
0022100139,496,2021-22,Regular Season,4,PT07M19.00S,Instant Replay4th Period (5:24 PM EST) Instant Replay Coach Challenge Ruling Stands,challenged,upheld,0,201246.0,,,496,PT07M19.00S,493,person_id_action_number,493,4,PT07M19.00S,Foul,Shooting,Mykhailiuk S.FOUL (P1.T3) (B.Forte),Foul: Shooting,ordinary_contact_foul,Ordinary contact foul,Mapped from challenged action type and subtype.
0022100144,356,2021-22,Regular Season,3,PT10M08.00S,Instant Replay3rd Period (8:21 PM EST) Instant Replay Coach Challenge Ruling Stands,challenged,upheld,0,2002.0,,,356,PT10M08.00S,354,person_id_action_number,354,3,PT10M08.00S,Foul,Shooting,Dort S.FOUL (P1.T1) (B.Adams),Foul: Shooting,ordinary_contact_foul,Ordinary contact foul,Mapped from challenged action type and subtype.
0022100146,555,2021-22,Regular Season,4,PT10M45.00S,Instant Replay4th Period (11:02 PM EST) Instant Replay Coach Challenge Overturn Ruling,challenged,overturned,1,2714.0,,,555,PT10M45.00S,552,previous_play,551,4,PT10M47.00S,Rebound,Unknown,Rozier REBOUND (Off:3 Def:4),Rebound,possession_boundary_adjudication,Possession/boundary adjudication,Rebound-linked challenges usually adjudicate possession or boundary state.
0022100146,647,2021-22,Regular Season,4,PT04M10.00S,Instant Replay4th Period (11:21 PM EST) Instant Replay Coach Challenge Overturn Ruling,challenged,overturned,1,2714.0,,,647,PT04M10.00S,644,previous_play,643,4,PT04M19.00S,Rebound,Unknown,Mann REBOUND (Off:1 Def:7),Rebound,possession_boundary_adjudication,Possession/boundary adjudication,Rebound-linked challenges usually adjudicate possession or boundary state.
0022100149,402,2021-22,Regular Season,3,PT08M20.00S,Instant Replay3rd Period (9:30 PM EST) Instant Replay Coach Challenge Overturn Ruling,challenged,overturned,1,203592.0,,,402,PT08M20.00S,399,previous_play,398,3,PT08M39.00S,Free Throw,Free Throw 2 of 2,Morant Free Throw 2 of 2 (13 PTS),Unknown,unknown_or_unmapped,Unknown or unmapped,Shot/free-throw linked challenge lacks enough text to infer the challenged ruling.
0022100149,640,2021-22,Regular Season,4,PT01M07.00S,Instant Replay4th Period (10:15 PM EST) Instant Replay Coach Challenge Ruling Stands,challenged,upheld,0,203592.0,,,640,PT01M07.00S,638,previous_same_clock,637,4,PT01M07.00S,Rebound,Unknown,GRIZZLIES Rebound,Rebound,possession_boundary_adjudication,Possession/boundary adjudication,Rebound-linked challenges usually adjudicate possession or boundary state.
